time_s,temp0_C,U1_bottom_C,U2_coilTop_C,U3_top_C,U4_coilMid_C,temp5_C,temp6_C,temp7_C,temp8_C,temp9_C,valve,mode,t_min,T_bulk_mean_C,T_coil_mean_C,DeltaT_C,Strat_top_minus_bottom_C,dTbulk_dt_C_per_s,P_bath_W,P_HX_W,UA_corr_W_per_K
182.881,,7.29,-33.8,10.5,2.68,,,,,,1,O,3.048016666666667,8.895,-15.559999999999999,24.455,3.21,-0.010198238643855655,206.23898009469295,350.3773157921962,14.327430619186106
183.885,,7.31,-34.13,10.41,2.68,,,,,,1,O,3.0647499999999996,8.86,-15.725000000000001,24.585,3.1000000000000005,-0.010090090817979555,204.05190661200058,348.1902423095039,14.162710689831355
184.891,,7.31,-34.44,10.48,2.62,,,,,,1,O,3.0815166666666665,8.895,-15.909999999999998,24.805,3.170000000000001,-0.01014713286898248,205.2054680094327,349.343803706936,14.083604261517275
185.895,,7.24,-35.02,10.43,2.61,,,,,,1,O,3.09825,8.835,-16.205000000000002,25.040000000000003,3.1899999999999995,-0.010061883575179177,203.48147154084853,347.6198072383518,13.88258016127603
186.9,,7.24,-35.88,10.45,2.59,,,,,,1,O,3.115,8.844999999999999,-16.645000000000003,25.490000000000002,3.209999999999999,-0.009992422721285489,202.07676469255648,346.2151003900598,13.582389187526863
187.906,,7.19,-36.8,10.37,2.65,,,,,,1,O,3.1317666666666666,8.78,-17.075,25.854999999999997,3.179999999999999,-0.009858683806776037,199.37216262443184,343.51049832193513,13.286037452018379
188.91,,7.16,-37.63,10.48,2.59,,,,,,1,O,3.1485,8.82,-17.520000000000003,26.340000000000003,3.3200000000000003,-0.0098082239465164,198.35171287040117,342.49004856790447,13.00265939893335
189.916,,7.14,-38.21,10.45,2.5,,,,,,1,O,3.1652666666666667,8.795,-17.855,26.65,3.3099999999999996,-0.009612230495139354,194.3881373032032,338.52647300070646,12.70268191372257
190.92,,7.16,-38.66,10.48,2.52,,,,,,1,O,3.182,8.82,-18.069999999999997,26.889999999999997,3.3200000000000003,-0.00955517702515116,193.23434497963194,337.37268067713524,12.546399430164941
191.925,,7.13,-39.05,10.46,2.59,,,,,,1,O,3.19875,8.795,-18.229999999999997,27.025,3.330000000000001,-0.009426692085862658,190.63599405240055,334.7743297499038,12.387579269191631
